Ünvan	İl	Telefon	e-Posta
Akti̇f Dönüşüm Yazılım Bi̇lgi̇sayar Si̇stemleri̇ Sanayi̇ Ve Ti̇caret Li̇mi̇ted Şi̇rketi̇	Ankara	(850) 304 33 88	info@aktifdonusum.com
HST MOBİL A.Ş.	İstanbul	(850) 241 11 12	entegrator@hstmobil.com.tr
KOYU TEKNOLOJİ ANONİM ŞİRKETİ	Ankara	(850) 441 56 98	entegrator@koyuteknoloji.com
SYSMOND YAZILIM TEKNOLOJİLERİ A.Ş.	Bursa	(224) 955 05 05	ebelge@sysmond.com.tr
EKÜPSOFT BİLİŞİM TEKNOLOJİLERİ ANONİM ŞİRKETİ	Kayseri	(212) 541 40 02	ebelge@ekupbilisim.com
TAXTEN Bilişim Teknolojileri A.Ş.	İstanbul	(850) 532 82 90	info@taxten.com
CG BİLGİ YAZILIM VE DANIŞMANLIK ANONİM ŞİRKETİ (Bimasraf)	İstanbul	(216) 599 10 10	info@bimasraf.com
DATASOFT Bilgisayar Sistemleri Yazılım ve Donanım San. ve Tic. LTD. ŞTİ.	İstanbul	(850) 260 00 83	entegrator@datasoft.com.tr
CLOUD LABS TEKNOLOJİ SİS. SAN.TİC.A.Ş.	İstanbul	(850) 277 06 66	bilgi@cloudlabs.com.tr
Nox Yazılım Hizmetleri Limited Şirketi	İzmir	(554) 978 29 89	info@noxyazilim.com.tr
